provider_id,model_score,model_flag,analyst_disposition,disposition_date
PRV51567,0.9334,1,confirmed_fraud,2010-02-09
PRV51578,0.8858,1,confirmed_fraud,2010-03-12
PRV53265,0.9521,1,confirmed_fraud,2010-04-28
PRV51851,0.887,1,confirmed_fraud,2010-01-07
PRV57345,0.8117,1,confirmed_fraud,2010-03-02
PRV54778,0.7044,1,cleared,2010-01-28
PRV52045,0.8694,1,confirmed_fraud,2010-04-19
PRV52846,0.9923,1,confirmed_fraud,2010-02-24
PRV54391,0.6572,1,confirmed_fraud,2010-04-12
PRV52870,0.7735,1,confirmed_fraud,2010-04-15
PRV51542,0.8713,1,needs_more_info,2010-01-12
PRV55509,0.8924,1,confirmed_fraud,2010-04-01
PRV54837,0.8988,1,confirmed_fraud,2010-04-04
PRV53769,0.9766,1,confirmed_fraud,2010-04-09
PRV51809,0.5194,1,cleared,2010-04-28
PRV55437,0.8745,1,confirmed_fraud,2010-04-01
PRV53245,0.8926,1,cleared,2010-04-10
PRV54724,0.5388,1,cleared,2010-03-25
PRV56541,0.8615,1,cleared,2010-02-04
PRV55676,0.9659,1,confirmed_fraud,2010-04-11
PRV52181,0.7502,1,cleared,2010-03-25
PRV54845,0.7574,1,needs_more_info,2010-03-22
PRV53961,0.9582,1,needs_more_info,2010-04-26
PRV54998,0.848,1,needs_more_info,2010-03-29
PRV52898,0.7388,1,cleared,2010-02-09
PRV56668,0.9484,1,confirmed_fraud,2010-02-05
PRV56556,0.5415,1,cleared,2010-02-08
PRV57310,0.9687,1,confirmed_fraud,2010-01-20
PRV55842,0.7051,1,needs_more_info,2010-01-09
PRV52173,0.8932,1,confirmed_fraud,2010-03-31
PRV52178,0.9503,1,confirmed_fraud,2010-04-04
PRV55658,0.5485,1,cleared,2010-01-19
PRV55914,0.7475,1,needs_more_info,2010-02-16
PRV54565,0.8083,1,cleared,2010-04-20
PRV52372,0.6488,1,confirmed_fraud,2010-04-10
PRV52497,0.6981,1,confirmed_fraud,2010-03-12
PRV52511,0.709,1,confirmed_fraud,2010-04-26
PRV55193,0.9085,1,confirmed_fraud,2010-02-08
PRV54382,0.7961,1,confirmed_fraud,2010-04-11
PRV52828,0.8458,1,confirmed_fraud,2010-04-22
PRV56210,0.5003,1,cleared,2010-03-12
PRV56285,0.7046,1,needs_more_info,2010-01-18
PRV53797,0.9938,1,confirmed_fraud,2010-02-04
PRV52566,0.549,1,confirmed_fraud,2010-03-02
PRV55912,0.9365,1,cleared,2010-02-02
PRV52826,0.671,1,needs_more_info,2010-01-10
PRV54649,0.928,1,confirmed_fraud,2010-01-20
PRV51357,0.885,1,confirmed_fraud,2010-04-25
PRV55165,0.776,1,confirmed_fraud,2010-02-14
PRV54575,0.658,1,cleared,2010-03-10
PRV51173,0.7426,1,confirmed_fraud,2010-02-21
PRV56501,0.7431,1,confirmed_fraud,2010-04-06
PRV52150,0.577,1,confirmed_fraud,2010-01-12
PRV55374,0.7029,1,confirmed_fraud,2010-02-02
PRV51003,0.9545,1,confirmed_fraud,2010-03-11
PRV55462,0.9986,1,confirmed_fraud,2010-04-06
PRV54952,0.8171,1,cleared,2010-02-24
PRV54676,0.8182,1,confirmed_fraud,2010-03-25
PRV57081,0.5169,1,cleared,2010-04-06
PRV55172,0.9402,1,confirmed_fraud,2010-03-18
PRV57414,0.6423,1,cleared,2010-04-08
PRV51037,0.7186,1,needs_more_info,2010-04-24
PRV54323,0.6707,1,confirmed_fraud,2010-01-26
PRV51586,0.7519,1,confirmed_fraud,2010-02-21
PRV55667,0.8918,1,confirmed_fraud,2010-01-27
PRV54690,0.7189,1,cleared,2010-02-18
PRV51059,0.8734,1,confirmed_fraud,2009-12-31
PRV56105,0.6251,1,cleared,2010-03-24
PRV55540,0.5082,1,confirmed_fraud,2010-01-28
PRV51868,0.9929,1,cleared,2010-04-10
PRV53242,0.9846,1,confirmed_fraud,2010-03-27
PRV53937,0.8829,1,needs_more_info,2010-02-09
PRV57709,0.8789,1,confirmed_fraud,2010-02-23
PRV54327,0.8801,1,confirmed_fraud,2010-03-21
PRV51949,0.5725,1,cleared,2010-02-19
PRV56428,0.7169,1,cleared,2010-01-25
PRV54196,0.0,0,cleared,2010-01-05
PRV55154,0.0,0,cleared,2010-03-07
PRV53794,0.0,0,cleared,2010-03-04
PRV53450,0.0,0,cleared,2010-04-02
PRV52794,0.0,0,cleared,2010-01-15
PRV55641,0.0,0,cleared,2010-01-07
PRV56980,0.0,0,cleared,2010-03-29
PRV57755,0.14,0,cleared,2010-03-28
PRV52553,0.0593,0,cleared,2010-04-05
PRV53980,0.0,0,cleared,2010-01-01
PRV52051,0.0,0,cleared,2010-03-19
PRV52844,0.02,0,cleared,2010-04-25
PRV56648,0.0,0,cleared,2010-04-01
PRV56401,0.0054,0,cleared,2010-02-25
PRV51959,0.3995,0,cleared,2010-02-26
PRV51360,0.0294,0,cleared,2010-02-18
PRV53344,0.0,0,needs_more_info,2010-01-06
PRV55850,0.134,0,cleared,2010-03-27
PRV53017,0.0,0,cleared,2010-03-05
PRV53727,0.0,0,cleared,2010-03-03
PRV55619,0.0,0,needs_more_info,2010-04-21
PRV56604,0.0004,0,cleared,2010-03-28
PRV55475,0.0,0,cleared,2010-04-25
PRV53099,0.0,0,cleared,2010-01-10
PRV52739,0.0054,0,cleared,2010-04-24
PRV55527,0.0,0,needs_more_info,2010-03-08
PRV51289,0.0283,0,confirmed_fraud,2010-02-17
PRV51015,0.0,0,cleared,2010-03-07
PRV53593,0.0,0,cleared,2010-01-04
PRV53913,0.0,0,cleared,2010-04-21
PRV54574,0.005,0,cleared,2010-03-16
PRV56918,0.4765,0,confirmed_fraud,2010-01-04
PRV55395,0.0,0,cleared,2010-04-19
PRV53888,0.0,0,confirmed_fraud,2010-02-23
PRV56828,0.0,0,cleared,2010-01-14
PRV51521,0.0,0,cleared,2010-03-16
PRV56548,0.0487,0,needs_more_info,2010-01-08
PRV55727,0.0,0,cleared,2010-03-07
PRV52687,0.0138,0,cleared,2010-04-01
PRV53751,0.0,0,cleared,2010-01-08
PRV55985,0.0004,0,cleared,2010-04-04
PRV55575,0.005,0,cleared,2010-03-12
PRV57667,0.0746,0,needs_more_info,2010-02-07
PRV54490,0.0,0,cleared,2010-01-26
PRV53944,0.0004,0,cleared,2010-01-01
PRV51914,0.0,0,cleared,2010-01-23
PRV51222,0.0,0,cleared,2010-02-03
PRV52409,0.0,0,cleared,2010-04-15
PRV53597,0.025,0,cleared,2010-03-02
PRV55859,0.0,0,confirmed_fraud,2010-01-23
PRV54679,0.0,0,cleared,2010-03-30
PRV52454,0.0,0,cleared,2010-02-23
PRV55587,0.0,0,cleared,2010-04-10
PRV54528,0.0,0,cleared,2010-03-31
PRV54081,0.0301,0,cleared,2010-04-21
PRV52176,0.0866,0,confirmed_fraud,2010-03-25
PRV55333,0.005,0,confirmed_fraud,2010-01-13
PRV55042,0.0382,0,cleared,2010-03-07
PRV56006,0.4449,0,cleared,2010-02-19
PRV54898,0.0,0,cleared,2010-04-06
