CCN,Provider_Name,State,num_certified_beds,avg_residents_per_day,occupancy_pct,own_for_profit_llc,own_for_profit_corp,own_for_profit_indiv,own_for_profit_partner,own_non_profit_corp,own_non_profit_other,own_non_profit_church,own_govt,is_medicare_and_medicaid,resides_in_hospital,in_chain,n_facilities_in_chain,is_ccrc,rating_overall,rating_health,rating_staffing,rating_qm,rating_qm_long,rating_qm_short,staff_total_hours,staff_rn_hours,staff_lpn_hours,staff_aide_hours,nursing_casemix_index,cycle1_deficiencies,cycle1_health_score,cycle1_total_score,total_weighted_health,infection_citations,health_inspection_overdue,ownership_changed_12m,sprinklers_full,flagged
015028,KELLER LANDING,AL,109.0,75.9,0.6963302752293579,0,1,0,0,0,0,0,0,1,0,1,191.0,0,5.0,5.0,4.0,4.0,4.0,4.0,3.25983,1.17533,0.48719,1.59731,1.15684,0.0,0.0,0.0,1.0,0.0,1,0,0,0
015031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,AL,222.0,192.1,0.8653153153153152,1,0,0,0,0,0,0,0,1,0,1,5.0,0,3.0,3.0,4.0,3.0,4.0,3.0,3.45385,0.71666,0.92125,1.81593,1.2035,6.0,24.0,24.0,19.0,0.0,0,0,0,0
015032,DIVERSICARE OF FOLEY,AL,154.0,121.5,0.788961038961039,0,1,0,0,0,0,0,0,1,0,1,44.0,0,1.0,1.0,3.0,4.0,5.0,3.0,3.37153,0.53545,0.80999,2.02609,1.31498,5.0,32.0,32.0,47.75,0.0,1,0,0,0
015034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",AL,78.0,72.3,0.9269230769230768,1,0,0,0,0,0,0,0,1,0,1,43.0,0,3.0,3.0,4.0,4.0,3.0,4.0,3.91716,0.7553,0.61893,2.54293,1.29198,1.0,16.0,16.0,14.0,0.0,1,0,0,0
015035,WEST GATE VILLAGE,AL,125.0,94.6,0.7567999999999999,0,1,0,0,0,0,0,0,1,0,1,18.0,0,5.0,4.0,5.0,3.0,3.0,3.0,5.16714,0.69352,1.21774,3.25589,1.25275,0.0,0.0,0.0,6.0,0.0,1,0,0,0
015040,DIVERSICARE OF MONTGOMERY,AL,138.0,107.7,0.7804347826086957,0,1,0,0,0,0,0,0,1,0,1,44.0,0,2.0,2.0,3.0,4.0,5.0,4.0,3.0071,0.47691,0.48732,2.04288,1.22956,4.0,36.0,36.0,32.0,0.0,1,0,0,0
015042,"SUMTER HEALTH AND REHABILITATION, L L C",AL,125.0,102.3,0.8184,0,1,0,0,0,0,0,0,1,0,1,43.0,0,3.0,3.0,4.0,4.0,5.0,3.0,3.46127,0.51367,0.55099,2.39661,1.14868,2.0,12.0,12.0,14.0,0.0,1,0,0,0
015044,"CAREGIVERS OF PLEASANT GROVE, INC",AL,64.0,53.3,0.8328125,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1.0,2.0,2.0,1.0,1.0,3.0,3.67841,0.34664,0.6414,2.69037,1.23856,5.0,36.0,36.0,32.0,0.0,1,0,0,0
015045,EAMC LANIER NURSING HOME,AL,103.0,86.7,0.841747572815534,0,0,0,0,1,0,0,0,1,0,0,0.0,0,3.0,4.0,1.0,3.0,2.0,3.0,2.67353,0.61186,0.41703,1.64464,1.16284,1.0,0.0,0.0,5.0,0.0,1,0,0,0
015047,"NORTHWAY HEALTH AND REHABILITATION, LLC",AL,113.0,107.3,0.9495575221238938,1,0,0,0,0,0,0,0,1,0,1,43.0,0,2.0,2.0,3.0,4.0,4.0,3.0,3.89156,0.31748,0.66372,2.91036,1.05785,6.0,28.0,28.0,24.0,0.0,0,0,0,0
015048,CULLMAN HEALTH CARE CENTER,AL,95.0,90.2,0.9494736842105264,0,1,0,0,0,0,0,0,1,0,1,22.0,0,2.0,2.0,4.0,2.0,2.0,1.0,4.18663,0.92822,0.79548,2.46292,1.30908,5.0,32.0,32.0,24.0,0.0,1,0,0,0
015049,EASTERN SHORE REHABILITATION AND HEALTH CENTER,AL,117.0,98.2,0.8393162393162393,0,0,0,0,1,0,0,0,1,0,1,10.0,0,3.0,3.0,4.0,3.0,2.0,5.0,4.06073,0.74923,0.83425,2.47726,1.18388,3.0,16.0,16.0,15.0,0.0,1,0,0,0
015050,OAK CREST HEALTH & WELLNESS,AL,79.0,61.9,0.7835443037974683,1,0,0,0,0,0,0,0,1,0,1,12.0,0,2.0,1.0,2.0,5.0,5.0,3.0,3.18317,0.46037,0.82187,1.90093,1.15559,6.0,253.0,253.0,190.75,0.0,1,0,0,0
015053,CLEBURNE COUNTY NURSING HOME,AL,82.0,74.4,0.9073170731707317,0,0,0,0,0,0,0,1,1,0,0,0.0,0,5.0,5.0,4.0,3.0,3.0,3.0,4.1677,0.55261,0.9578,2.65728,1.15249,0.0,0.0,0.0,2.0,1.0,1,0,0,0
015060,RIDGEWAY REHABILITATION & SENIOR LIVING,AL,69.0,53.6,0.7768115942028986,0,1,0,0,0,0,0,0,1,0,1,12.0,0,2.0,1.0,3.0,5.0,5.0,3.0,3.40029,0.93556,0.58458,1.88015,1.10016,13.0,268.0,268.0,214.0,0.0,0,0,0,1
015063,DIVERSICARE OF BOAZ,AL,100.0,92.0,0.92,0,1,0,0,0,0,0,0,1,0,1,44.0,0,2.0,2.0,4.0,4.0,4.0,4.0,3.0843,0.98181,0.37986,1.72263,1.10401,7.0,44.0,44.0,37.0,0.0,0,0,0,0
015065,"PRATTVILLE HEALTH AND REHABILITATION, LLC",AL,162.0,158.0,0.9753086419753086,0,1,0,0,0,0,0,0,1,0,1,43.0,0,1.0,1.0,4.0,2.0,2.0,2.0,4.19614,0.70132,0.82607,2.66874,1.22823,6.0,60.0,60.0,55.0,0.0,1,0,0,0
015066,"TERRACE MANOR NURSING & REHABILITATION CENTER, INC",AL,63.0,55.3,0.8777777777777778,0,1,0,0,0,0,0,0,1,0,1,6.0,0,5.0,5.0,4.0,4.0,4.0,5.0,3.71853,0.70805,0.99527,2.01521,1.25114,0.0,0.0,0.0,0.0,0.0,1,0,0,0
015067,COTTAGE OF THE SHOALS,AL,103.0,84.1,0.8165048543689319,0,1,0,0,0,0,0,0,1,0,1,191.0,0,5.0,4.0,2.0,5.0,5.0,4.0,3.34533,0.78158,0.72429,1.83947,1.48088,3.0,12.0,12.0,10.0,0.0,1,0,0,0
015071,ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE,AL,50.0,45.6,0.912,1,0,0,0,0,0,0,0,1,0,1,12.0,0,2.0,3.0,4.0,1.0,2.0,1.0,4.07492,0.92157,0.67093,2.48242,1.24985,2.0,12.0,12.0,14.0,0.0,1,0,0,0
015073,"HANCEVILLE NURSING & REHAB CENTER, INC",AL,208.0,189.2,0.9096153846153846,1,0,0,0,0,0,0,0,1,0,0,0.0,0,2.0,1.0,5.0,3.0,3.0,3.0,4.57114,0.67962,0.83945,3.05207,1.28166,7.0,72.0,72.0,55.0,0.0,0,0,0,0
015075,"SUMMERFORD HEALTH AND REHAB, LLC",AL,216.0,135.7,0.6282407407407407,0,0,1,0,0,0,0,0,1,0,0,0.0,0,2.0,2.0,2.0,2.0,3.0,1.0,3.19503,0.63763,0.78146,1.77594,1.28754,5.0,24.0,24.0,36.0,0.0,1,0,0,0
015076,FAIR HAVEN,AL,259.0,238.0,0.918918918918919,0,0,0,0,1,0,0,0,1,0,0,0.0,1,3.0,3.0,3.0,4.0,5.0,3.0,4.40053,0.29536,0.93357,3.17159,1.11518,3.0,16.0,16.0,17.0,0.0,1,0,0,1
015083,"ELBA NURSING AND REHABILITATION CENTER, LLC",AL,111.0,81.4,0.7333333333333334,0,1,0,0,0,0,0,0,1,0,1,29.0,0,1.0,2.0,4.0,1.0,1.0,1.0,3.71,0.87172,0.57564,2.26264,1.13162,4.0,28.0,28.0,25.0,0.0,1,0,0,0
015084,PARK PLACE,AL,103.0,97.8,0.949514563106796,0,1,0,0,0,0,0,0,1,0,1,44.0,0,3.0,2.0,3.0,5.0,5.0,5.0,3.36169,0.4094,0.62701,2.32528,1.2958,5.0,32.0,32.0,28.0,0.0,1,0,0,0
015089,EVERGREEN NURSING HOME,AL,61.0,52.9,0.8672131147540983,0,1,0,0,0,0,0,0,1,0,1,18.0,0,4.0,4.0,4.0,4.0,3.0,5.0,4.75901,0.5202,1.2658,2.97301,1.32458,2.0,8.0,8.0,7.0,0.0,1,0,0,0
015091,"NORTH HILL NURSING AND REHABILITATION CTR, LLC",AL,190.0,163.3,0.8594736842105264,0,1,0,0,0,0,0,0,1,0,1,29.0,0,1.0,2.0,1.0,2.0,3.0,2.0,2.97305,0.2626,0.59733,2.11312,1.15747,10.0,40.0,40.0,33.0,0.0,1,0,0,0
015097,"SOUTH HEALTH AND REHABILITATION, LLC",AL,83.0,72.6,0.8746987951807228,0,1,0,0,0,0,0,0,1,0,1,43.0,0,2.0,2.0,3.0,2.0,2.0,3.0,3.98905,0.55456,0.66419,2.7703,1.24761,3.0,44.0,44.0,34.0,0.0,1,0,0,1
015098,ALLEN HEALTH AND REHABILITATION,AL,119.0,83.3,0.7,0,0,0,0,1,0,0,0,1,0,1,10.0,0,3.0,3.0,4.0,4.0,4.0,3.0,3.5993,0.66395,0.89845,2.03691,1.21167,2.0,8.0,8.0,13.0,0.0,1,0,0,0
015100,CROWNE HEALTH CARE OF MOBILE,AL,148.0,131.6,0.8891891891891891,0,1,0,0,0,0,0,0,1,0,1,18.0,0,3.0,3.0,5.0,1.0,1.0,2.0,4.71726,0.61129,1.38714,2.71883,1.20171,4.0,16.0,16.0,15.0,0.0,1,0,0,0
015101,ALTOONA  HEALTH & REHAB,AL,50.0,47.6,0.9520000000000001,0,1,0,0,0,0,0,0,1,0,1,5.0,0,4.0,2.0,5.0,5.0,5.0,3.0,3.61882,0.68532,0.67368,2.25982,1.15995,4.0,32.0,32.0,27.0,2.0,1,0,0,0
015103,"ASHLAND PLACE HEALTH AND REHABILITATION, LLC",AL,164.0,143.6,0.875609756097561,0,1,0,0,0,0,0,0,1,0,1,43.0,0,3.0,3.0,4.0,3.0,4.0,3.0,3.90813,0.68952,0.76841,2.4502,1.22485,2.0,20.0,20.0,19.0,0.0,1,0,0,0
015104,SOUTHLAND NURSING HOME,AL,91.0,64.7,0.710989010989011,0,1,0,0,0,0,0,0,1,0,0,0.0,0,5.0,4.0,3.0,5.0,5.0,3.0,3.91548,0.55806,0.91569,2.44173,1.12797,2.0,8.0,8.0,7.0,0.0,1,0,0,0
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,95.0,83.8,0.8821052631578947,0,1,0,0,0,0,0,0,1,0,1,43.0,0,3.0,2.0,4.0,5.0,5.0,3.0,4.20222,0.64718,0.37649,3.17855,1.08878,6.0,40.0,40.0,31.0,0.0,1,0,0,0
015111,DIVERSICARE OF BIG SPRINGS,AL,145.0,126.6,0.8731034482758621,0,1,0,0,0,0,0,0,1,0,1,44.0,0,4.0,4.0,3.0,3.0,4.0,2.0,3.026,0.62147,0.41326,1.99127,1.11076,2.0,8.0,8.0,11.0,3.0,1,0,0,0
015112,MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER,AL,111.0,87.6,0.7891891891891891,0,1,0,0,0,0,0,0,1,0,1,10.0,0,3.0,3.0,3.0,3.0,3.0,3.0,2.70826,0.50906,0.56302,1.63618,1.19665,5.0,20.0,20.0,19.0,0.0,1,0,0,0
015113,RIVER CITY CENTER,AL,183.0,155.3,0.8486338797814208,0,1,0,0,0,0,0,0,1,0,1,191.0,0,1.0,1.0,4.0,4.0,4.0,3.0,3.30317,0.87314,0.71843,1.7116,1.15282,6.0,60.0,60.0,48.0,0.0,1,0,0,0
015114,SHADESCREST HEALTH CARE CENTER,AL,107.0,99.5,0.9299065420560748,0,0,1,0,0,0,0,0,1,0,0,0.0,0,1.0,1.0,4.0,3.0,4.0,2.0,3.7793,0.58821,0.7993,2.39178,1.22948,13.0,60.0,60.0,46.0,0.0,1,0,0,0
015115,"CORDOVA HEALTH AND REHABILITATION, LLC",AL,114.0,106.0,0.9298245614035088,0,1,0,0,0,0,0,0,1,0,1,43.0,0,1.0,1.0,4.0,3.0,4.0,2.0,3.83395,0.57721,0.4788,2.77794,1.04046,9.0,202.0,202.0,152.5,0.0,0,0,0,1
015116,ROCKET CITY REHABILITATION AND HEALTHCARE CENTER,AL,159.0,121.1,0.7616352201257861,1,0,0,0,0,0,0,0,1,0,1,22.0,0,1.0,1.0,4.0,3.0,4.0,3.0,4.18246,1.32277,0.52571,2.33398,1.24204,12.0,523.0,523.0,399.25,0.0,1,0,0,0
015117,"OAK KNOLL HEALTH AND REHABILITATION, LLC",AL,100.0,97.7,0.977,0,1,0,0,0,0,0,0,1,0,1,43.0,0,2.0,1.0,4.0,5.0,5.0,3.0,3.90471,0.50566,0.69609,2.70296,1.13694,6.0,40.0,40.0,114.25,2.0,1,0,0,0
015119,ARABELLA HEALTH AND WELLNESS OF SELMA,AL,172.0,119.3,0.6936046511627907,0,1,0,0,0,0,0,0,1,0,1,12.0,0,2.0,2.0,3.0,4.0,4.0,3.0,3.03627,0.48559,0.6935,1.85718,1.17959,6.0,44.0,44.0,36.0,0.0,0,0,0,1
015120,"NHC HEALTHCARE, ANNISTON",AL,151.0,131.4,0.8701986754966888,1,0,0,0,0,0,0,0,1,0,1,63.0,0,3.0,2.0,4.0,5.0,5.0,5.0,3.60839,0.90304,0.45059,2.25477,1.35081,6.0,56.0,56.0,43.0,0.0,0,0,0,1
015121,CROWNE HEALTH CARE OF CITRONELLE,AL,69.0,64.8,0.9391304347826086,0,1,0,0,0,0,0,0,1,0,1,18.0,0,5.0,5.0,4.0,3.0,3.0,3.0,4.33395,0.53103,0.93341,2.86951,1.23813,0.0,0.0,0.0,0.0,0.0,1,0,0,0
015123,WASHINGTON COUNTY NURSING HOME,AL,88.0,77.5,0.8806818181818182,0,0,0,0,0,0,0,1,1,1,0,0.0,0,5.0,5.0,5.0,5.0,5.0,3.0,4.38287,0.66245,0.96334,2.75709,1.25078,0.0,0.0,0.0,0.0,0.0,1,0,0,0
015124,CLAY COUNTY NURSING HOME,AL,83.0,73.0,0.8795180722891566,0,0,0,0,0,1,0,0,1,1,0,0.0,0,4.0,4.0,4.0,2.0,2.0,3.0,3.75473,0.60563,0.85854,2.29056,1.12771,2.0,4.0,4.0,7.0,0.0,1,0,0,0
015126,TRAYLOR RETIREMENT COMMUNITY,AL,123.0,71.7,0.5829268292682928,0,1,0,0,0,0,0,0,1,0,1,5.0,0,4.0,2.0,5.0,5.0,5.0,5.0,4.18284,0.88672,0.74811,2.548,1.10542,5.0,44.0,44.0,41.0,0.0,0,0,0,0
015127,BROOKSHIRE HEALTHCARE CENTER,AL,129.0,117.2,0.9085271317829458,0,1,0,0,0,0,0,0,1,0,1,22.0,0,3.0,3.0,4.0,2.0,1.0,3.0,4.02673,0.81935,0.59269,2.61469,1.21197,5.0,20.0,20.0,17.0,0.0,1,0,0,0
015128,"NHC HEALTHCARE, MOULTON",AL,136.0,109.3,0.8036764705882353,0,1,0,0,0,0,0,0,1,0,1,63.0,0,5.0,4.0,3.0,5.0,5.0,5.0,3.87744,0.67433,0.73944,2.46367,1.42908,2.0,8.0,8.0,8.0,0.0,1,0,0,0
015129,ATMORE NURSING CENTER,AL,100.0,83.2,0.8320000000000001,0,1,0,0,0,0,0,0,1,0,1,18.0,0,5.0,5.0,4.0,4.0,3.0,4.0,4.52549,0.6301,0.81859,3.0768,1.24002,0.0,0.0,0.0,0.0,0.0,1,0,0,0
015132,DIVERSICARE OF OXFORD,AL,173.0,112.8,0.6520231213872832,0,1,0,0,0,0,0,0,1,0,1,44.0,0,2.0,2.0,3.0,3.0,4.0,3.0,3.30002,0.47495,0.53208,2.29299,1.08509,6.0,32.0,32.0,28.0,0.0,1,0,0,0
015133,MAGNOLIA RIDGE,AL,148.0,42.3,0.2858108108108108,0,1,0,0,0,0,0,0,1,0,1,191.0,0,1.0,1.0,4.0,3.0,3.0,3.0,5.81757,0.82245,1.44443,3.55068,1.3127,30.0,1465.0,1465.0,1142.25,0.0,0,0,0,1
015134,BIRMINGHAM NURSING AND REHABILITATION CENTER EAST,AL,132.0,118.6,0.8984848484848484,1,0,0,0,0,0,0,0,1,0,1,29.0,0,2.0,1.0,1.0,5.0,5.0,3.0,2.51773,0.28971,0.73812,1.4899,1.14787,7.0,379.0,379.0,288.25,0.0,0,0,0,1
015135,JOHN KNOX MANOR INC  I I,AL,98.0,62.2,0.6346938775510205,0,0,0,0,1,0,0,0,1,0,0,0.0,0,2.0,3.0,4.0,1.0,1.0,3.0,4.76546,0.64011,1.08745,3.0379,1.19854,3.0,24.0,24.0,18.0,0.0,1,0,0,0
015136,FALKVILLE REHABILITATION AND HEALTHCARE CENTER,AL,116.0,97.8,0.843103448275862,1,0,0,0,0,0,0,0,1,0,1,22.0,0,1.0,1.0,4.0,3.0,3.0,2.0,4.20555,0.65088,0.75039,2.80428,1.28987,20.0,518.0,518.0,575.0,0.0,0,0,0,1
015137,ALICEVILLE MANOR NURSING HOME,AL,100.0,89.9,0.899,0,1,0,0,0,0,0,0,1,0,1,5.0,0,5.0,4.0,5.0,4.0,5.0,2.0,3.86653,0.74164,0.55947,2.56542,1.13779,1.0,4.0,4.0,8.0,0.0,1,0,0,0
015138,HENDRIX HEALTH AND REHABILITATION,AL,110.0,100.2,0.9109090909090909,0,0,1,0,0,0,0,0,1,0,0,0.0,0,2.0,2.0,3.0,3.0,4.0,2.0,3.79754,0.51872,0.8725,2.40632,1.27951,3.0,36.0,36.0,32.0,0.0,1,0,0,0
015139,"TALLASSEE HEALTH AND REHABILITATION, LLC",AL,111.0,99.8,0.899099099099099,1,0,0,0,0,0,0,0,1,0,1,43.0,0,2.0,2.0,3.0,3.0,4.0,3.0,3.97183,0.5802,0.75445,2.63718,1.15567,7.0,52.0,52.0,42.0,0.0,1,0,0,0
015141,ARBOR WOODS HEALTH AND REHAB,AL,85.0,50.6,0.5952941176470589,0,0,0,1,0,0,0,0,1,0,1,5.0,0,5.0,3.0,5.0,5.0,5.0,5.0,5.20391,0.76217,0.66287,3.77887,1.10687,1.0,16.0,16.0,12.0,0.0,1,0,0,0
015142,"LINEVILLE HEALTH AND REHABILITATION, LLC",AL,101.0,90.9,0.9,0,1,0,0,0,0,0,0,1,0,1,43.0,0,5.0,5.0,3.0,3.0,3.0,3.0,4.0685,0.41571,0.83017,2.82262,1.18325,0.0,0.0,0.0,1.0,0.0,1,0,0,0
015143,FOREST MANOR HEALTH AND REHAB,AL,182.0,155.5,0.8543956043956044,1,0,0,0,0,0,0,0,1,0,1,22.0,0,3.0,3.0,4.0,3.0,2.0,4.0,3.53041,0.72012,0.67626,2.13403,1.26406,2.0,20.0,20.0,23.0,0.0,1,0,0,0
015144,THE HEALTHCARE CENTER AT BUCK CREEK,AL,198.0,186.1,0.9398989898989899,1,0,0,0,0,0,0,0,1,0,0,0.0,0,3.0,3.0,2.0,3.0,5.0,1.0,3.54125,0.27457,0.96625,2.30043,1.23167,3.0,8.0,8.0,23.0,0.0,1,0,0,1
015145,DIVERSICARE OF RIVERCHASE,AL,132.0,123.9,0.9386363636363637,0,1,0,0,0,0,0,0,1,0,1,44.0,0,3.0,2.0,2.0,5.0,5.0,3.0,3.12162,0.46321,0.54329,2.11512,1.14415,1.0,4.0,4.0,26.0,6.0,1,0,0,0
015147,GLENWOOD CENTER,AL,125.0,102.7,0.8216,0,1,0,0,0,0,0,0,1,0,1,191.0,0,1.0,1.0,2.0,3.0,5.0,1.0,3.11639,0.68393,0.63219,1.80027,1.4341,11.0,68.0,68.0,55.0,0.0,1,0,0,0
015148,DIVERSICARE OF ARAB,AL,87.0,82.4,0.9471264367816092,1,0,0,0,0,0,0,0,1,0,1,44.0,0,3.0,2.0,4.0,5.0,5.0,5.0,3.14323,0.66475,0.37457,2.10391,1.15654,6.0,56.0,56.0,43.0,0.0,1,0,0,0
015149,SUNSET MANOR,AL,71.0,59.5,0.8380281690140845,0,1,0,0,0,0,0,0,1,0,0,0.0,0,3.0,3.0,4.0,3.0,3.0,3.0,3.98021,1.03692,0.56265,2.38064,1.23138,2.0,12.0,12.0,18.0,0.0,1,0,0,0
015150,WIREGRASS REHABILITATION CENTER & NURSING HOME,AL,96.0,65.7,0.6843750000000001,0,0,0,0,0,0,0,1,1,1,0,0.0,0,4.0,3.0,5.0,4.0,4.0,3.0,3.76087,0.61294,0.84149,2.30644,1.07177,2.0,20.0,20.0,21.0,0.0,1,0,0,0
015151,ARABELLA HEALTH & WELLNESS OF MOBILE,AL,170.0,97.9,0.5758823529411765,1,0,0,0,0,0,0,0,1,0,1,12.0,0,3.0,3.0,3.0,4.0,5.0,2.0,3.7062,0.81308,0.52123,2.37189,1.20908,2.0,20.0,20.0,17.0,0.0,1,0,0,0
015152,EXTENDICARE HEALTH AND REHAB,AL,170.0,160.6,0.9447058823529412,0,1,0,0,0,0,0,0,1,0,1,10.0,0,2.0,2.0,4.0,4.0,4.0,4.0,4.77343,0.64103,1.13311,2.99929,1.25788,4.0,32.0,32.0,34.0,0.0,1,0,0,0
015153,ARLINGTON REHABILITATION & HEALTHCARE CENTER,AL,117.0,105.8,0.9042735042735043,0,1,0,0,0,0,0,0,1,0,1,10.0,0,4.0,4.0,2.0,2.0,3.0,1.0,3.52348,0.49563,0.64394,2.38392,1.51991,2.0,8.0,8.0,10.0,0.0,1,0,0,0
015154,FAYETTE MEDICAL CENTER LONG TERM CARE UNIT,AL,122.0,103.9,0.8516393442622952,0,0,0,0,0,0,0,1,1,1,0,0.0,0,5.0,4.0,5.0,4.0,4.0,3.0,4.41881,1.12105,0.81458,2.48317,1.24444,0.0,0.0,0.0,6.0,0.0,1,0,0,0
015155,"RIDGEVIEW HEALTH SERVICES, INC",AL,148.0,140.1,0.9466216216216216,0,0,1,0,0,0,0,0,1,0,0,0.0,0,2.0,2.0,3.0,3.0,3.0,3.0,3.84741,0.67845,0.64188,2.52708,1.23816,5.0,36.0,36.0,30.0,0.0,0,0,0,0
015156,CROWNE HEALTH CARE OF FT PAYNE,AL,123.0,102.7,0.8349593495934959,0,1,0,0,0,0,0,0,1,0,1,18.0,0,4.0,4.0,5.0,1.0,1.0,2.0,4.21132,0.87853,0.78728,2.54551,1.21258,2.0,8.0,8.0,6.0,0.0,1,0,0,0
015157,HALEYVILLE HEALTH CARE CENTER,AL,97.0,69.8,0.7195876288659794,0,1,0,0,0,0,0,0,1,0,1,22.0,0,4.0,5.0,4.0,1.0,2.0,1.0,4.57005,0.63363,0.90151,3.03491,1.36814,0.0,0.0,0.0,1.0,0.0,1,0,0,0
015158,DIVERSICARE OF MARION,AL,71.0,65.1,0.9169014084507041,0,1,0,0,0,0,0,0,1,0,1,44.0,0,5.0,4.0,2.0,5.0,5.0,3.0,2.92562,0.43792,0.36495,2.12274,1.24117,1.0,4.0,4.0,5.0,0.0,1,0,0,0
015159,DIVERSICARE OF ONEONTA,AL,120.0,111.2,0.9266666666666666,0,1,0,0,0,0,0,0,1,0,1,44.0,0,2.0,2.0,2.0,4.0,4.0,4.0,2.88177,0.53455,0.52636,1.82087,1.21612,6.0,40.0,40.0,32.0,0.0,1,0,0,1
015160,SYLACAUGA HEALTH AND REHAB SERVICES,AL,149.0,127.8,0.8577181208053691,0,0,0,0,1,0,0,0,1,0,1,10.0,1,5.0,4.0,4.0,5.0,4.0,5.0,3.97407,0.77775,0.64266,2.55366,1.33837,0.0,0.0,0.0,7.0,0.0,1,0,0,0
015162,"TALLADEGA HEALTHCARE CENTER, INC",AL,234.0,226.8,0.9692307692307692,0,1,0,0,0,0,0,0,1,0,1,5.0,0,3.0,3.0,4.0,3.0,4.0,1.0,4.44574,0.48847,0.94685,3.01042,1.2242,2.0,20.0,20.0,23.0,0.0,1,0,0,0
015163,ALBERTVILLE NURSING HOME,AL,159.0,155.1,0.9754716981132076,0,1,0,0,0,0,0,0,1,0,1,5.0,0,5.0,4.0,5.0,4.0,4.0,4.0,5.15376,0.73488,0.66795,3.75093,1.36435,1.0,4.0,4.0,6.0,0.0,1,0,0,0
